OrderID,OrderDate,Region,City,Category,SubCategory,CustomerID,CustomerAge,Gender,Quantity,UnitPrice,Discount,Revenue,Profit,PaymentMode
28,8/28/2023,West,Chennai,Clothing,Dress,CUST1143,50,Female,5,3031,0.3,10608.5,2974.12,Net Banking
29,9/16/2023,West,Chennai,Furniture,Bed,CUST1659,53,Female,1,1247,0.15,1059.95,202.72,Cash
30,12/18/2023,South,Delhi,Grocery,Snacks,CUST1710,58,Male,3,1469,0.15,3745.95,1243.85,Cash
31,5/9/2023,South,Kolkata,Electronics,Headphones,CUST1778,45,Female,1,2059,0.12,1811.92,215.58,UPI
32,5/24/2023,North,Chennai,Furniture,Bed,CUST1345,19,Male,1,4161,0.21,3287.19,1089.49,Net Banking
33,1/9/2023,East,Mumbai,Grocery,Snacks,CUST1232,52,Male,1,3823,0.17,3173.09,429.03,Net Banking
34,4/30/2023,East,Delhi,Clothing,Dress,CUST1672,41,Male,3,2355,0.27,5157.45,690.45,Net Banking
35,4/14/2023,East,Delhi,Electronics,Laptop,CUST1851,52,Female,4,4782,0.28,13772.16,2264.11,Card
36,12/4/2023,West,Chennai,Grocery,Milk,CUST1705,52,Male,1,198,0.29,140.58,44.26,UPI
37,10/4/2023,North,Delhi,Grocery,Oil,CUST1815,37,Male,5,4167,0.21,16459.65,5412.35,UPI
38,1/22/2023,East,Kolkata,Grocery,Milk,CUST1749,47,Female,3,4596,0.09,12547.08,2976.64,Net Banking
39,8/14/2023,West,Bangalore,Clothing,Jeans,CUST1276,47,Male,5,662,0.27,2416.3,509.01,UPI
40,10/31/2023,East,Delhi,Clothing,Jeans,CUST1658,21,Female,1,1059,0.26,783.66,259.35,Card
41,6/7/2023,North,Kolkata,Furniture,Sofa,CUST1476,23,Male,3,3220,0.01,9563.4,971.97,Card
42,6/30/2023,North,Kolkata,Furniture,Sofa,CUST1606,52,Male,3,1160,0.28,2505.6,680.38,Net Banking
43,6/10/2023,West,Bangalore,Grocery,Oil,CUST1255,20,Male,4,1239,0.09,4509.96,1282.95,Net Banking
44,11/19/2023,South,Chennai,Furniture,Chair,CUST1871,41,Female,2,1916,0.12,3372.16,494.82,Cash
45,6/4/2023,East,Mumbai,Electronics,Headphones,CUST1489,19,Female,2,4114,0.3,5759.6,2061.79,Cash
46,9/3/2023,North,Bangalore,Grocery,Rice,CUST1175,56,Male,2,884,0.25,1326,476.05,Cash
47,1/13/2023,East,Kolkata,Electronics,Mobile,CUST1827,24,Male,5,2906,0.13,12641.1,4084.82,Cash
48,5/22/2023,South,Delhi,Grocery,Snacks,CUST1971,40,Female,1,4231,0.24,3215.56,659.22,UPI
49,7/5/2023,West,Kolkata,Grocery,Oil,CUST1574,39,Male,4,2874,0.2,9196.8,2773.33,Net Banking
50,4/11/2023,West,Hyderabad,Furniture,Bed,CUST1992,25,Female,2,1815,0.01,3593.7,1110.53,Card
51,9/19/2023,East,Kolkata,Grocery,Rice,CUST1876,49,Female,5,3151,0.29,11186.05,2939.92,UPI
52,5/24/2023,South,Delhi,Electronics,Headphones,CUST1268,59,Female,4,4242,0.21,13404.72,4805.51,Net Banking
53,2/27/2023,South,Bangalore,Clothing,Jeans,CUST1950,43,Female,3,4852,0.12,12809.28,3457.79,Card
54,5/9/2023,North,Kolkata,Clothing,Dress,CUST1057,18,Female,5,216,0.02,1058.4,287.36,Cash
55,9/29/2023,North,Chennai,Electronics,TV,CUST1188,56,Male,2,659,0.05,1252.1,149.77,Net Banking
56,3/27/2023,West,Hyderabad,Furniture,Sofa,CUST1696,46,Male,5,2394,0.01,11850.3,2727.81,UPI
57,7/23/2023,West,Hyderabad,Clothing,Jeans,CUST1911,43,Female,4,3218,0.01,12743.28,1826.9,UPI
58,9/11/2023,South,Delhi,Clothing,Jacket,CUST1733,54,Male,2,2579,0.24,3920.08,1160.77,Net Banking
59,5/27/2023,North,Kolkata,Clothing,Jeans,CUST1441,49,Male,2,2949,0.08,5426.16,2145.55,Card
60,10/7/2023,West,Kolkata,Furniture,Sofa,CUST1335,19,Male,1,1115,0.2,892,313.2,Card
61,6/27/2023,South,Mumbai,Clothing,Jacket,CUST1674,50,Male,1,995,0.19,805.95,128.72,Cash
62,3/6/2023,North,Delhi,Clothing,Dress,CUST1416,57,Female,1,2838,0.25,2128.5,451.71,Card
63,4/5/2023,South,Chennai,Electronics,Laptop,CUST1301,19,Female,2,1166,0.06,2192.08,831.22,Card
64,3/31/2023,South,Hyderabad,Electronics,TV,CUST1775,46,Male,5,2646,0.19,10716.3,3204.54,UPI
65,7/15/2023,West,Kolkata,Electronics,Laptop,CUST1825,28,Male,2,1725,0.1,3105,999.16,UPI
66,12/23/2023,West,Mumbai,Furniture,Sofa,CUST1456,41,Male,5,828,0.24,3146.4,992.34,UPI
67,4/6/2023,West,Chennai,Furniture,Table,CUST1663,40,Female,3,1222,0.12,3226.08,930.38,UPI
68,8/5/2023,North,Chennai,Electronics,TV,CUST1866,58,Female,5,3951,0.13,17186.85,3003.21,UPI
69,12/8/2023,West,Mumbai,Electronics,Headphones,CUST1396,36,Female,1,4052,0.15,3444.2,523.73,Cash
70,9/22/2023,West,Bangalore,Furniture,Sofa,CUST1454,45,Male,1,495,0.29,351.45,51.26,Card
71,4/9/2023,West,Hyderabad,Furniture,Chair,CUST1395,42,Male,4,3677,0.19,11913.48,3162.63,UPI
72,5/24/2023,South,Mumbai,Furniture,Bed,CUST1568,56,Female,4,3038,0.06,11422.88,1326.67,Card
73,6/12/2023,South,Bangalore,Furniture,Sofa,CUST1214,46,Male,5,3082,0.3,10787,4134,Card
74,9/10/2023,East,Hyderabad,Clothing,Jeans,CUST1229,24,Female,3,4946,0.04,14244.48,2443.6,Cash
75,5/2/2023,South,Kolkata,Clothing,Dress,CUST1193,22,Female,5,1291,0.02,6325.9,970.66,Cash
76,12/31/2023,East,Bangalore,Clothing,Jacket,CUST1832,39,Male,5,3336,0.07,15512.4,3499.73,UPI
77,5/12/2023,North,Bangalore,Clothing,Shirt,CUST1803,23,Male,4,1780,0.28,5126.4,534.17,UPI
78,6/16/2023,West,Hyderabad,Grocery,Milk,CUST1090,27,Female,4,3586,0.14,12335.84,3535.5,Card
79,5/21/2023,North,Kolkata,Grocery,Oil,CUST1753,45,Female,2,3702,0.03,7181.88,1811.36,UPI
80,1/1/2023,West,Mumbai,Furniture,Bed,CUST1386,30,Male,2,555,0.04,1065.6,218.7,Cash
81,11/8/2023,North,Mumbai,Furniture,Table,CUST1928,55,Male,4,4385,0.12,15435.2,3961.99,Cash
82,6/22/2023,South,Mumbai,Electronics,Laptop,CUST1828,38,Male,5,233,0.24,885.4,94.41,Net Banking
83,5/27/2023,South,Delhi,Clothing,Shirt,CUST1531,35,Female,5,4398,0.28,15832.8,5131.46,Cash
84,2/23/2023,South,Hyderabad,Grocery,Milk,CUST1885,20,Male,1,3476,0.21,2746.04,723.96,Card
85,6/5/2023,South,Hyderabad,Furniture,Bed,CUST1372,25,Male,1,1453,0.29,1031.63,137.13,Cash
86,1/28/2023,East,Bangalore,Furniture,Sofa,CUST1731,54,Female,2,4285,0.12,7541.6,2497.64,UPI
87,5/25/2023,South,Chennai,Electronics,Mobile,CUST1200,50,Male,1,4935,0.3,3454.5,658.26,Cash
88,2/15/2023,North,Kolkata,Clothing,Jeans,CUST1546,23,Male,5,2608,0.21,10301.6,3618.08,Card
89,1/10/2023,East,Mumbai,Electronics,Headphones,CUST1823,47,Male,2,355,0.17,589.3,73.22,Card
90,8/12/2023,South,Kolkata,Grocery,Snacks,CUST1238,28,Male,2,1115,0.11,1984.7,311.27,Net Banking
91,6/26/2023,South,Mumbai,Clothing,Shirt,CUST1460,50,Male,5,4258,0.12,18735.2,2833.71,Card
92,11/7/2023,East,Mumbai,Furniture,Bed,CUST1517,45,Male,2,2252,0.12,3963.52,1260.31,Card
93,1/23/2023,North,Kolkata,Furniture,Sofa,CUST1996,54,Female,1,2856,0.3,1999.2,201.94,Card
94,1/1/2023,West,Bangalore,Electronics,Mobile,CUST1050,30,Male,2,4278,0.07,7957.08,2107.33,Card
95,12/14/2023,East,Delhi,Electronics,TV,CUST1094,25,Female,4,4644,0.2,14860.8,3188.56,Cash
96,11/2/2023,East,Kolkata,Electronics,Laptop,CUST1267,18,Male,2,349,0.16,586.32,98.68,Card
97,4/22/2023,South,Kolkata,Furniture,Chair,CUST1766,40,Male,4,488,0.03,1893.44,307.6,UPI
98,7/11/2023,East,Chennai,Furniture,Sofa,CUST1763,51,Female,5,4081,0.21,16119.95,5418.09,UPI
99,11/4/2023,West,Hyderabad,Grocery,Rice,CUST1248,55,Female,2,1458,0.13,2536.92,326.63,Card
100,2/20/2023,East,Bangalore,Furniture,Sofa,CUST1080,22,Female,1,1458,0.12,1283.04,273.77,Cash
101,12/6/2023,North,Chennai,Furniture,Table,CUST1983,22,Female,5,237,0.28,853.2,215.32,Cash
102,4/21/2023,North,Kolkata,Electronics,TV,CUST1760,40,Male,2,4400,0.06,8272,1870.34,Cash
103,7/3/2023,East,Hyderabad,Grocery,Snacks,CUST1280,20,Female,3,3545,0.21,8401.65,2906.8,Card
104,5/2/2023,South,Hyderabad,Furniture,Table,CUST1050,36,Male,3,766,0.2,1838.4,640.32,Net Banking
105,11/22/2023,North,Chennai,Grocery,Milk,CUST1512,22,Female,5,4799,0.1,21595.5,8432.15,Card
106,3/19/2023,South,Kolkata,Clothing,Shirt,CUST1729,44,Male,1,623,0.06,585.62,170.25,UPI
107,2/25/2023,North,Hyderabad,Furniture,Chair,CUST1349,34,Female,1,2396,0.14,2060.56,399.06,UPI
108,7/26/2023,South,Delhi,Electronics,Mobile,CUST1302,39,Female,2,2155,0.22,3361.8,1158.62,Card
109,12/31/2023,East,Kolkata,Electronics,Mobile,CUST1665,31,Male,2,4223,0.11,7516.94,1963.72,Cash
110,10/1/2023,West,Hyderabad,Clothing,Jacket,CUST1505,55,Male,3,1746,0.25,3928.5,687.94,Net Banking
111,1/28/2023,South,Delhi,Furniture,Chair,CUST1713,56,Female,3,2006,0.07,5596.74,1786.63,UPI
112,10/27/2023,East,Delhi,Clothing,Dress,CUST1536,34,Female,1,1396,0.06,1312.24,395.97,Net Banking
113,8/21/2023,West,Hyderabad,Furniture,Sofa,CUST1108,35,Male,5,3383,0.14,14546.9,4269.06,Net Banking
114,8/24/2023,North,Mumbai,Clothing,Dress,CUST1594,59,Female,4,4306,0.22,13434.72,3125.95,Card
115,8/14/2023,East,Delhi,Clothing,Jacket,CUST1442,23,Male,1,2760,0.11,2456.4,506.57,Net Banking
116,7/17/2023,East,Delhi,Electronics,Mobile,CUST1581,21,Male,5,3548,0.07,16498.2,6095.51,UPI
117,11/7/2023,West,Hyderabad,Electronics,Mobile,CUST1136,20,Male,3,3617,0.09,9874.41,3436.18,UPI
118,8/11/2023,North,Kolkata,Clothing,Shirt,CUST1005,19,Male,3,2690,0.12,7101.6,747.7,Card
119,4/4/2023,West,Delhi,Clothing,Jeans,CUST1503,55,Female,4,4270,0.26,12639.2,1957.54,UPI
120,6/22/2023,West,Bangalore,Electronics,Mobile,CUST1299,22,Female,3,4389,0.17,10928.61,2497.36,Card
121,1/20/2023,South,Bangalore,Furniture,Chair,CUST1112,29,Female,2,1241,0.21,1960.78,666.96,Card
122,5/19/2023,West,Bangalore,Furniture,Table,CUST1510,53,Female,1,4849,0.09,4412.59,995.61,Cash
123,1/10/2023,North,Hyderabad,Clothing,Dress,CUST1260,40,Male,5,2126,0.18,8716.6,2521.11,UPI
124,3/25/2023,East,Kolkata,Furniture,Chair,CUST1320,54,Male,2,2319,0.06,4359.72,848.53,Card
125,2/7/2023,North,Hyderabad,Electronics,Headphones,CUST1418,47,Male,1,2932,0.04,2814.72,726.34,UPI
126,11/30/2023,South,Kolkata,Furniture,Sofa,CUST1884,28,Male,1,1704,0.25,1278,141.21,Net Banking
127,11/16/2023,South,Hyderabad,Electronics,TV,CUST1917,46,Male,1,2735,0.11,2434.15,297.12,UPI
128,10/18/2023,North,Mumbai,Furniture,Table,CUST1724,54,Female,3,972,0.23,2245.32,359.56,Cash
129,5/12/2023,South,Kolkata,Grocery,Snacks,CUST1600,59,Male,5,2998,0.2,11992,2915.02,Cash
130,1/14/2023,North,Mumbai,Clothing,Jacket,CUST1799,55,Male,1,2549,0.24,1937.24,519.68,UPI
131,8/13/2023,East,Hyderabad,Electronics,TV,CUST1502,19,Female,1,4770,0.15,4054.5,1339.35,Card
132,7/17/2023,North,Mumbai,Clothing,Dress,CUST1645,20,Female,5,3787,0.07,17609.55,4176.02,UPI
133,6/6/2023,South,Delhi,Furniture,Sofa,CUST1549,50,Male,3,2135,0.22,4995.9,1139.34,Net Banking
134,11/18/2023,East,Kolkata,Electronics,Headphones,CUST1521,22,Male,5,1050,0.04,5040,1706.73,Cash
135,6/8/2023,North,Bangalore,Furniture,Table,CUST1814,53,Female,3,1965,0.1,5305.5,815.05,Net Banking
136,11/20/2023,East,Delhi,Clothing,Jacket,CUST1843,19,Male,5,3328,0.16,13977.6,3551.61,Card
137,10/9/2023,East,Mumbai,Furniture,Chair,CUST1810,44,Male,3,194,0.18,477.24,109.93,UPI
138,5/14/2023,North,Hyderabad,Clothing,Jacket,CUST1711,40,Female,5,4206,0.29,14931.3,4438.22,Net Banking
139,4/14/2023,North,Hyderabad,Clothing,Jeans,CUST1957,35,Male,2,2449,0.18,4016.36,507.85,Cash
140,12/22/2023,West,Hyderabad,Electronics,TV,CUST1323,22,Female,1,1739,0.26,1286.86,154.89,Cash
141,2/20/2023,West,Kolkata,Electronics,TV,CUST1028,31,Male,5,226,0.05,1073.5,243.81,Cash
142,4/11/2023,West,Chennai,Clothing,Jeans,CUST1404,43,Female,1,3897,0.27,2844.81,1033.11,Card
143,2/24/2023,South,Delhi,Grocery,Milk,CUST1370,57,Female,4,1305,0.25,3915,1175.89,Net Banking
144,11/9/2023,South,Kolkata,Clothing,Shirt,CUST1116,43,Male,5,3602,0.02,17649.8,5285.07,Net Banking
145,10/21/2023,South,Mumbai,Electronics,TV,CUST1385,24,Female,1,674,0.12,593.12,83.6,Net Banking
146,12/30/2023,West,Delhi,Electronics,TV,CUST1762,41,Female,2,574,0.22,895.44,236.7,Cash
147,6/10/2023,South,Delhi,Electronics,Headphones,CUST1176,46,Male,1,2090,0.05,1985.5,774.02,Net Banking
148,2/18/2023,East,Chennai,Clothing,Jeans,CUST1966,34,Female,3,4857,0.07,13551.03,4555.8,UPI
149,3/4/2023,South,Mumbai,Electronics,Headphones,CUST1700,57,Male,4,3532,0.04,13562.88,3738.1,Cash
150,8/3/2023,West,Delhi,Electronics,TV,CUST1434,36,Male,1,4522,0.18,3708.04,1408.6,Cash
151,1/19/2023,South,Bangalore,Clothing,Shirt,CUST1017,18,Female,5,3476,0.01,17206.2,4445.74,Cash
152,4/24/2023,West,Delhi,Electronics,TV,CUST1221,55,Female,3,3157,0.16,7955.64,2130.29,Cash
153,10/15/2023,East,Delhi,Clothing,Jeans,CUST1777,27,Male,3,3435,0.26,7625.7,885.84,Net Banking
154,2/24/2023,North,Mumbai,Furniture,Bed,CUST1475,49,Male,3,2001,0.16,5042.52,805.67,Net Banking
155,9/4/2023,East,Delhi,Furniture,Bed,CUST1834,41,Male,2,3562,0.2,5699.2,2233.35,UPI
156,3/8/2023,East,Chennai,Furniture,Table,CUST1050,50,Male,3,427,0.03,1242.57,198.84,Net Banking
157,3/29/2023,South,Chennai,Electronics,Mobile,CUST1077,49,Male,4,3154,0.22,9840.48,1558.79,Cash
158,8/11/2023,North,Kolkata,Electronics,Laptop,CUST1822,35,Male,3,4083,0.12,10779.12,2151.24,UPI
159,4/22/2023,South,Kolkata,Electronics,TV,CUST1380,36,Female,2,874,0.22,1363.44,198.46,Net Banking
160,10/30/2023,East,Chennai,Furniture,Bed,CUST1708,37,Male,4,1408,0.13,4899.84,647.75,Card
161,4/29/2023,West,Chennai,Clothing,Jeans,CUST1395,37,Male,3,4941,0.25,11117.25,3236.03,Net Banking
162,8/14/2023,South,Hyderabad,Electronics,TV,CUST1052,52,Female,5,904,0.12,3977.6,932.29,UPI
163,7/21/2023,North,Chennai,Furniture,Sofa,CUST1157,40,Female,4,3677,0.23,11325.16,4054.02,Net Banking
164,2/9/2023,South,Bangalore,Electronics,Laptop,CUST1961,42,Male,1,4053,0.01,4012.47,1281.57,Cash
165,1/29/2023,East,Kolkata,Grocery,Oil,CUST1108,51,Female,1,1401,0.25,1050.75,109.99,UPI
166,2/11/2023,South,Hyderabad,Clothing,Shirt,CUST1355,58,Female,5,174,0.25,652.5,157.32,Cash
167,1/27/2023,East,Mumbai,Electronics,Headphones,CUST1824,48,Female,2,4783,0.06,8992.04,3567.15,Card
168,11/5/2023,North,Chennai,Grocery,Milk,CUST1454,27,Female,3,4363,0.08,12041.88,2529.64,Net Banking
169,5/2/2023,North,Chennai,Furniture,Sofa,CUST1557,19,Male,5,3572,0.13,15538.2,4429.3,UPI
170,10/9/2023,East,Mumbai,Electronics,TV,CUST1028,38,Female,4,1486,0.06,5587.36,2083.52,Cash
171,10/22/2023,West,Delhi,Grocery,Rice,CUST1743,52,Female,3,2158,0.11,5761.86,1061.83,Net Banking
172,3/10/2023,North,Chennai,Furniture,Table,CUST1311,50,Male,2,4250,0.2,6800,808.87,Net Banking
173,12/3/2023,South,Delhi,Furniture,Sofa,CUST1957,51,Female,2,850,0.08,1564,346.39,Card
174,10/23/2023,West,Bangalore,Electronics,Headphones,CUST1016,18,Female,1,253,0.14,217.58,64.55,Net Banking
175,2/8/2023,West,Kolkata,Electronics,Headphones,CUST1802,20,Female,1,160,0.21,126.4,34.07,Net Banking
176,4/12/2023,South,Hyderabad,Furniture,Table,CUST1865,29,Male,2,1352,0,2704,296.6,Cash
177,1/17/2023,South,Delhi,Electronics,Laptop,CUST1329,29,Female,3,1736,0.03,5051.76,630.49,UPI
178,7/17/2023,North,Chennai,Electronics,TV,CUST1199,42,Female,3,4162,0.24,9489.36,1920.31,Card
179,1/26/2023,West,Kolkata,Furniture,Chair,CUST1046,49,Female,2,3826,0.21,6045.08,2324.46,Net Banking
180,3/27/2023,North,Kolkata,Grocery,Rice,CUST1249,24,Male,2,4906,0.3,6868.4,1602.11,Net Banking
181,11/11/2023,South,Bangalore,Electronics,Headphones,CUST1726,46,Female,5,4332,0.06,20360.4,7440,Cash
182,4/13/2023,West,Kolkata,Furniture,Sofa,CUST1272,31,Male,2,3394,0.26,5023.12,736.57,Card
183,10/20/2023,West,Mumbai,Furniture,Bed,CUST1170,57,Male,3,2767,0.04,7968.96,3003.61,Cash
184,1/4/2023,North,Mumbai,Clothing,Jacket,CUST1348,39,Female,2,4378,0.12,7705.28,1758.9,Card
185,4/18/2023,South,Bangalore,Furniture,Bed,CUST1893,19,Male,1,2869,0.16,2409.96,655.4,Cash
186,9/26/2023,South,Delhi,Furniture,Sofa,CUST1140,35,Female,3,3341,0.3,7016.1,2805.94,UPI
187,11/14/2023,North,Kolkata,Clothing,Dress,CUST1244,33,Male,3,913,0.11,2437.71,414.03,Cash
188,12/25/2023,South,Chennai,Clothing,Jacket,CUST1339,22,Male,4,1362,0.12,4794.24,1785.81,Cash
189,6/7/2023,South,Delhi,Electronics,Headphones,CUST1323,35,Female,1,3860,0.03,3744.2,1099.35,Net Banking
190,3/14/2023,West,Chennai,Clothing,Dress,CUST1398,41,Male,5,531,0.01,2628.45,272.53,Net Banking
191,7/17/2023,South,Chennai,Electronics,Laptop,CUST1806,41,Male,4,2334,0.28,6721.92,1103.04,Net Banking
192,9/17/2023,North,Delhi,Furniture,Sofa,CUST1570,25,Female,3,1968,0.3,4132.8,731.48,UPI
193,4/17/2023,West,Mumbai,Grocery,Snacks,CUST1225,43,Female,4,984,0.25,2952,1074.23,Cash
194,1/5/2023,South,Bangalore,Furniture,Table,CUST1772,40,Female,1,2900,0.29,2059,313.25,UPI
195,6/27/2023,North,Mumbai,Clothing,Jacket,CUST1849,34,Male,1,3270,0.18,2681.4,650.21,Cash
196,3/30/2023,East,Delhi,Electronics,Mobile,CUST1328,21,Male,3,4355,0.14,11235.9,2394.58,UPI
197,5/3/2023,West,Mumbai,Grocery,Milk,CUST1987,46,Female,5,3781,0.14,16258.3,4595.39,Cash
198,1/9/2023,West,Mumbai,Grocery,Snacks,CUST1462,57,Male,1,1318,0.29,935.78,132.28,Cash
199,2/7/2023,East,Bangalore,Furniture,Table,CUST1327,22,Female,1,1518,0.03,1472.46,408.55,UPI
200,10/11/2023,North,Mumbai,Clothing,Jacket,CUST1964,30,Female,2,1013,0.02,1985.48,663.04,UPI
201,4/25/2023,West,Kolkata,Furniture,Table,CUST1697,20,Female,1,3211,0.26,2376.14,582.57,UPI
202,8/4/2023,West,Chennai,Furniture,Table,CUST1146,33,Male,2,4030,0.26,5964.4,1072.56,UPI
203,6/30/2023,South,Hyderabad,Furniture,Chair,CUST1169,53,Female,4,1804,0.1,6494.4,2132.72,Cash
204,2/14/2023,West,Chennai,Electronics,Mobile,CUST1825,48,Female,3,2569,0.06,7244.58,981.7,Net Banking
205,3/23/2023,South,Mumbai,Clothing,Shirt,CUST1355,19,Male,2,2819,0.1,5074.2,897.87,Card
206,1/13/2023,North,Delhi,Furniture,Sofa,CUST1045,44,Female,5,2112,0.08,9715.2,3323.18,Cash
207,12/10/2023,South,Hyderabad,Furniture,Chair,CUST1364,52,Male,1,2164,0.03,2099.08,602.42,Cash
208,11/15/2023,East,Chennai,Clothing,Jeans,CUST1411,32,Male,3,3626,0.16,9137.52,1015.2,Cash
209,8/30/2023,North,Chennai,Clothing,Jacket,CUST1323,44,Male,5,377,0.28,1357.2,262.8,Card
210,1/22/2023,North,Bangalore,Grocery,Rice,CUST1473,35,Male,1,1017,0.21,803.43,207.23,Cash
211,9/8/2023,South,Delhi,Furniture,Sofa,CUST1226,29,Male,2,4899,0.2,7838.4,2086.68,Net Banking
212,2/27/2023,East,Hyderabad,Electronics,Mobile,CUST1982,43,Female,5,1006,0.25,3772.5,1088.18,UPI
213,4/9/2023,South,Chennai,Grocery,Milk,CUST1396,58,Male,2,1553,0.14,2671.16,311.75,Cash
214,6/24/2023,East,Kolkata,Electronics,Laptop,CUST1973,37,Male,5,2304,0.09,10483.2,1551.68,UPI
215,4/2/2023,North,Kolkata,Grocery,Milk,CUST1988,38,Female,3,3878,0.29,8260.14,2929.73,Cash
216,9/14/2023,North,Mumbai,Furniture,Sofa,CUST1569,55,Female,5,4126,0.29,14647.3,2518.92,Cash
217,10/7/2023,West,Kolkata,Electronics,Headphones,CUST1523,35,Male,2,2080,0.06,3910.4,545.75,Card
218,5/25/2023,South,Hyderabad,Grocery,Oil,CUST1604,25,Male,4,2355,0.16,7912.8,2787.1,Card
219,6/30/2023,West,Chennai,Clothing,Jeans,CUST1535,20,Female,3,3733,0.23,8623.23,1829.28,Card
220,9/30/2023,North,Kolkata,Electronics,Laptop,CUST1893,37,Female,4,626,0.14,2153.44,785.59,Net Banking
221,11/15/2023,North,Kolkata,Electronics,Laptop,CUST1725,19,Male,4,620,0.06,2331.2,588.68,Net Banking
222,11/16/2023,North,Mumbai,Grocery,Milk,CUST1337,48,Male,3,3888,0.04,11197.44,2918.28,Card
223,9/24/2023,West,Bangalore,Grocery,Milk,CUST1213,41,Male,3,828,0.26,1838.16,305.22,Cash
224,3/21/2023,East,Bangalore,Grocery,Snacks,CUST1309,39,Female,1,2548,0.03,2471.56,565.32,Card
225,12/19/2023,East,Hyderabad,Furniture,Bed,CUST1001,50,Female,4,2820,0.17,9362.4,3717.52,Cash
226,6/3/2023,South,Chennai,Electronics,Headphones,CUST1917,56,Female,1,4144,0.02,4061.12,619.91,Net Banking
227,4/16/2023,East,Chennai,Clothing,Shirt,CUST1886,57,Female,2,189,0.21,298.62,47.73,Net Banking
228,9/19/2023,North,Chennai,Clothing,Jacket,CUST1072,56,Female,3,416,0.21,985.92,385.03,Net Banking
229,11/14/2023,North,Hyderabad,Grocery,Snacks,CUST1083,24,Female,1,815,0.26,603.1,112.04,UPI
230,1/3/2023,South,Mumbai,Electronics,Mobile,CUST1126,58,Female,3,307,0.16,773.64,119.77,Card
231,3/28/2023,West,Bangalore,Electronics,Laptop,CUST1523,30,Female,4,4209,0.02,16499.28,6300.98,Cash
232,12/22/2023,West,Chennai,Furniture,Chair,CUST1684,25,Female,1,1366,0.07,1270.38,136.24,Cash
